=== libciper.so exported/defined symbols (crypto primitives) ===
353 ---------- 0x0000d7f0 GLOBAL OBJ    40       gbl_tty
354 0x00003a5c 0x00003a5c GLOBAL FUNC   34       Java_com_honeywell_comm_JNIRequest_jniEndBuildPublicVariableRecord
355 0x000032a0 0x000032a0 GLOBAL FUNC   144      toTPId
356 0x0000b02c 0x0000c02c GLOBAL OBJ    8        libciperVersion
357 0x00006fd0 0x00006fd0 GLOBAL FUNC   52       SetReadResponse
359 0x00004fe4 0x00004fe4 GLOBAL FUNC   24       getReceiveIOCommand
360 0x000033e8 0x000033e8 GLOBAL FUNC   172      debugTerminalProperty
361 0x00003b50 0x00003b50 GLOBAL FUNC   26       Java_com_honeywell_comm_JNIRequest_jniPatternNextCh
363 0x0000a91c 0x0000a91c GLOBAL NOTYPE 0        __exidx_end
364 0x00005d90 0x00005d90 GLOBAL FUNC   16       getMaxPublicVariableRecordEntries
366 0x0000389c 0x0000389c GLOBAL FUNC   24       Java_com_honeywell_comm_JNIRequest_jniGetMaxTerminalPropertyRecordEntries
367 0x0000591c 0x0000591c GLOBAL FUNC   156      handleTerminalPropertyMessage
368 ---------- 0x0000d818 GLOBAL NOTYPE 0        _bss_end__
370 0x00007cb4 0x00007cb4 GLOBAL FUNC   636      ReadFromFile
372 0x00008b14 0x00008b14 GLOBAL FUNC   84       libciperVersionString
373 0x000051dc 0x000051dc GLOBAL FUNC   208      buildFileBlockCRCRecord
374 0x0000414c 0x0000414c GLOBAL FUNC   304      Java_com_honeywell_comm_JNIRequest_jniGetAllFilesInFolder
375 0x000033cc 0x000033cc GLOBAL FUNC   26       debugTPId
376 0x00006498 0x00006498 GLOBAL FUNC   84       patternNextCh
377 0x00006da4 0x00006da4 GLOBAL FUNC   24       flush_serial_input
378 0x000084c8 0x000084c8 GLOBAL FUNC   172      current_timestamp
380 0x00003ad0 0x00003ad0 GLOBAL FUNC   32       Java_com_honeywell_comm_JNIRequest_jniBuildPatternReplyRecord
